Epoch 076 | learning rate: 0.0083 | Train Loss: 0.9250 | Train Acc: 0.6868 | Valid Loss: 1.2736 | Valid Acc: 0.5530 | Epoch Time: 5.82 s
Epoch 077 | learning rate: 0.0079 | Train Loss: 0.9176 | Train Acc: 0.6893 | Valid Loss: 1.3067 | Valid Acc: 0.5478 | Epoch Time: 6.09 s
Epoch 078 | learning rate: 0.0079 | Train Loss: 0.9139 | Train Acc: 0.6927 | Valid Loss: 1.2871 | Valid Acc: 0.5516 | Epoch Time: 6.39 s
Epoch 079 | learning rate: 0.0075 | Train Loss: 0.9124 | Train Acc: 0.6912 | Valid Loss: 1.2727 | Valid Acc: 0.5546 | Epoch Time: 6.23 s
Epoch 080 | learning rate: 0.0075 | Train Loss: 0.9051 | Train Acc: 0.6950 | Valid Loss: 1.2997 | Valid Acc: 0.5488 | Epoch Time: 6.32 s
Epoch 081 | learning rate: 0.0071 | Train Loss: 0.9009 | Train Acc: 0.6981 | Valid Loss: 1.2662 | Valid Acc: 0.5588 | Epoch Time: 6.40 s
Epoch 082 | learning rate: 0.0071 | Train Loss: 0.8957 | Train Acc: 0.6985 | Valid Loss: 1.2803 | Valid Acc: 0.5550 | Epoch Time: 6.16 s
Epoch 083 | learning rate: 0.0071 | Train Loss: 0.8921 | Train Acc: 0.7021 | Valid Loss: 1.2719 | Valid Acc: 0.5582 | Epoch Time: 6.26 s
Epoch 084 | learning rate: 0.0068 | Train Loss: 0.8860 | Train Acc: 0.7038 | Valid Loss: 1.3128 | Valid Acc: 0.5450 | Epoch Time: 6.24 s
Epoch 085 | learning rate: 0.0068 | Train Loss: 0.8832 | Train Acc: 0.7036 | Valid Loss: 1.2713 | Valid Acc: 0.5554 | Epoch Time: 6.27 s
Epoch 086 | learning rate: 0.0064 | Train Loss: 0.8795 | Train Acc: 0.7069 | Valid Loss: 1.2733 | Valid Acc: 0.5526 | Epoch Time: 6.24 s
Epoch 087 | learning rate: 0.0064 | Train Loss: 0.8782 | Train Acc: 0.7066 | Valid Loss: 1.2724 | Valid Acc: 0.5600 | Epoch Time: 6.15 s
Epoch 088 | learning rate: 0.0061 | Train Loss: 0.8720 | Train Acc: 0.7079 | Valid Loss: 1.2768 | Valid Acc: 0.5564 | Epoch Time: 6.60 s
Epoch 089 | learning rate: 0.0061 | Train Loss: 0.8679 | Train Acc: 0.7104 | Valid Loss: 1.2933 | Valid Acc: 0.5516 | Epoch Time: 6.22 s
Epoch 090 | learning rate: 0.0058 | Train Loss: 0.8644 | Train Acc: 0.7119 | Valid Loss: 1.2856 | Valid Acc: 0.5546 | Epoch Time: 6.04 s
Epoch 091 | learning rate: 0.0058 | Train Loss: 0.8590 | Train Acc: 0.7140 | Valid Loss: 1.2700 | Valid Acc: 0.5598 | Epoch Time: 6.38 s
Epoch 092 | learning rate: 0.0055 | Train Loss: 0.8575 | Train Acc: 0.7150 | Valid Loss: 1.2848 | Valid Acc: 0.5558 | Epoch Time: 6.39 s
Epoch 093 | learning rate: 0.0055 | Train Loss: 0.8545 | Train Acc: 0.7166 | Valid Loss: 1.2749 | Valid Acc: 0.5600 | Epoch Time: 6.26 s
Epoch 094 | learning rate: 0.0052 | Train Loss: 0.8521 | Train Acc: 0.7180 | Valid Loss: 1.2676 | Valid Acc: 0.5616 | Epoch Time: 5.56 s
Epoch 095 | learning rate: 0.0052 | Train Loss: 0.8468 | Train Acc: 0.7190 | Valid Loss: 1.2719 | Valid Acc: 0.5590 | Epoch Time: 5.83 s
Epoch 096 | learning rate: 0.0050 | Train Loss: 0.8437 | Train Acc: 0.7203 | Valid Loss: 1.2769 | Valid Acc: 0.5572 | Epoch Time: 5.77 s
Epoch 097 | learning rate: 0.0050 | Train Loss: 0.8408 | Train Acc: 0.7226 | Valid Loss: 1.2656 | Valid Acc: 0.5552 | Epoch Time: 5.67 s
Epoch 098 | learning rate: 0.0050 | Train Loss: 0.8381 | Train Acc: 0.7240 | Valid Loss: 1.2692 | Valid Acc: 0.5588 | Epoch Time: 5.52 s
Epoch 099 | learning rate: 0.0047 | Train Loss: 0.8338 | Train Acc: 0.7260 | Valid Loss: 1.2782 | Valid Acc: 0.5548 | Epoch Time: 6.15 s
Epoch 100 | learning rate: 0.0047 | Train Loss: 0.8310 | Train Acc: 0.7272 | Valid Loss: 1.2619 | Valid Acc: 0.5604 | Epoch Time: 6.16 s
Epoch 101 | learning rate: 0.0045 | Train Loss: 0.8289 | Train Acc: 0.7281 | Valid Loss: 1.2716 | Valid Acc: 0.5606 | Epoch Time: 5.58 s
Epoch 102 | learning rate: 0.0045 | Train Loss: 0.8248 | Train Acc: 0.7293 | Valid Loss: 1.2697 | Valid Acc: 0.5572 | Epoch Time: 5.34 s
Epoch 103 | learning rate: 0.0043 | Train Loss: 0.8220 | Train Acc: 0.7294 | Valid Loss: 1.2775 | Valid Acc: 0.5564 | Epoch Time: 5.83 s
Epoch 104 | learning rate: 0.0043 | Train Loss: 0.8204 | Train Acc: 0.7310 | Valid Loss: 1.2669 | Valid Acc: 0.5620 | Epoch Time: 5.84 s
Epoch 105 | learning rate: 0.0040 | Train Loss: 0.8174 | Train Acc: 0.7316 | Valid Loss: 1.2594 | Valid Acc: 0.5636 | Epoch Time: 6.16 s
Epoch 106 | learning rate: 0.0040 | Train Loss: 0.8141 | Train Acc: 0.7333 | Valid Loss: 1.2730 | Valid Acc: 0.5596 | Epoch Time: 6.12 s
Epoch 107 | learning rate: 0.0038 | Train Loss: 0.8129 | Train Acc: 0.7343 | Valid Loss: 1.2725 | Valid Acc: 0.5608 | Epoch Time: 5.59 s
Epoch 108 | learning rate: 0.0038 | Train Loss: 0.8095 | Train Acc: 0.7360 | Valid Loss: 1.2730 | Valid Acc: 0.5598 | Epoch Time: 5.56 s
Epoch 109 | learning rate: 0.0037 | Train Loss: 0.8071 | Train Acc: 0.7359 | Valid Loss: 1.2710 | Valid Acc: 0.5584 | Epoch Time: 5.35 s
Epoch 110 | learning rate: 0.0037 | Train Loss: 0.8048 | Train Acc: 0.7390 | Valid Loss: 1.2661 | Valid Acc: 0.5614 | Epoch Time: 5.89 s
Epoch 111 | learning rate: 0.0035 | Train Loss: 0.8022 | Train Acc: 0.7398 | Valid Loss: 1.2664 | Valid Acc: 0.5634 | Epoch Time: 6.38 s
Epoch 112 | learning rate: 0.0035 | Train Loss: 0.8000 | Train Acc: 0.7402 | Valid Loss: 1.2641 | Valid Acc: 0.5622 | Epoch Time: 6.37 s
Epoch 113 | learning rate: 0.0033 | Train Loss: 0.7989 | Train Acc: 0.7403 | Valid Loss: 1.2636 | Valid Acc: 0.5604 | Epoch Time: 6.31 s
Epoch 114 | learning rate: 0.0033 | Train Loss: 0.7950 | Train Acc: 0.7416 | Valid Loss: 1.2604 | Valid Acc: 0.5618 | Epoch Time: 6.39 s
Epoch 115 | learning rate: 0.0033 | Train Loss: 0.7942 | Train Acc: 0.7416 | Valid Loss: 1.2746 | Valid Acc: 0.5588 | Epoch Time: 6.25 s
Epoch 116 | learning rate: 0.0031 | Train Loss: 0.7909 | Train Acc: 0.7448 | Valid Loss: 1.2616 | Valid Acc: 0.5634 | Epoch Time: 6.48 s
Epoch 117 | learning rate: 0.0031 | Train Loss: 0.7893 | Train Acc: 0.7440 | Valid Loss: 1.2669 | Valid Acc: 0.5676 | Epoch Time: 6.53 s
Epoch 118 | learning rate: 0.0030 | Train Loss: 0.7873 | Train Acc: 0.7460 | Valid Loss: 1.2688 | Valid Acc: 0.5598 | Epoch Time: 6.20 s
Epoch 119 | learning rate: 0.0030 | Train Loss: 0.7848 | Train Acc: 0.7461 | Valid Loss: 1.2616 | Valid Acc: 0.5636 | Epoch Time: 6.40 s
Epoch 120 | learning rate: 0.0028 | Train Loss: 0.7829 | Train Acc: 0.7461 | Valid Loss: 1.2724 | Valid Acc: 0.5618 | Epoch Time: 6.19 s
Epoch 121 | learning rate: 0.0028 | Train Loss: 0.7805 | Train Acc: 0.7487 | Valid Loss: 1.2698 | Valid Acc: 0.5614 | Epoch Time: 6.18 s
Epoch 122 | learning rate: 0.0027 | Train Loss: 0.7795 | Train Acc: 0.7489 | Valid Loss: 1.2637 | Valid Acc: 0.5646 | Epoch Time: 5.79 s
Epoch 123 | learning rate: 0.0027 | Train Loss: 0.7775 | Train Acc: 0.7505 | Valid Loss: 1.2648 | Valid Acc: 0.5658 | Epoch Time: 6.17 s
Epoch 124 | learning rate: 0.0026 | Train Loss: 0.7766 | Train Acc: 0.7500 | Valid Loss: 1.2727 | Valid Acc: 0.5612 | Epoch Time: 5.81 s
Epoch 125 | learning rate: 0.0026 | Train Loss: 0.7739 | Train Acc: 0.7528 | Valid Loss: 1.2616 | Valid Acc: 0.5654 | Epoch Time: 5.16 s
Epoch 126 | learning rate: 0.0024 | Train Loss: 0.7723 | Train Acc: 0.7511 | Valid Loss: 1.2642 | Valid Acc: 0.5656 | Epoch Time: 5.30 s
Epoch 127 | learning rate: 0.0024 | Train Loss: 0.7706 | Train Acc: 0.7526 | Valid Loss: 1.2612 | Valid Acc: 0.5694 | Epoch Time: 5.46 s
Epoch 128 | learning rate: 0.0023 | Train Loss: 0.7693 | Train Acc: 0.7526 | Valid Loss: 1.2605 | Valid Acc: 0.5648 | Epoch Time: 5.22 s
Epoch 129 | learning rate: 0.0023 | Train Loss: 0.7676 | Train Acc: 0.7531 | Valid Loss: 1.2607 | Valid Acc: 0.5642 | Epoch Time: 5.10 s
Epoch 130 | learning rate: 0.0022 | Train Loss: 0.7660 | Train Acc: 0.7542 | Valid Loss: 1.2594 | Valid Acc: 0.5658 | Epoch Time: 5.22 s
Epoch 131 | learning rate: 0.0022 | Train Loss: 0.7653 | Train Acc: 0.7541 | Valid Loss: 1.2587 | Valid Acc: 0.5676 | Epoch Time: 5.27 s
Epoch 132 | learning rate: 0.0022 | Train Loss: 0.7639 | Train Acc: 0.7559 | Valid Loss: 1.2602 | Valid Acc: 0.5628 | Epoch Time: 5.65 s
Epoch 133 | learning rate: 0.0021 | Train Loss: 0.7614 | Train Acc: 0.7570 | Valid Loss: 1.2609 | Valid Acc: 0.5652 | Epoch Time: 5.26 s
Epoch 134 | learning rate: 0.0021 | Train Loss: 0.7602 | Train Acc: 0.7575 | Valid Loss: 1.2617 | Valid Acc: 0.5670 | Epoch Time: 5.48 s
Epoch 135 | learning rate: 0.0020 | Train Loss: 0.7585 | Train Acc: 0.7583 | Valid Loss: 1.2626 | Valid Acc: 0.5662 | Epoch Time: 5.21 s
Epoch 136 | learning rate: 0.0020 | Train Loss: 0.7569 | Train Acc: 0.7590 | Valid Loss: 1.2668 | Valid Acc: 0.5646 | Epoch Time: 5.62 s
Epoch 137 | learning rate: 0.0019 | Train Loss: 0.7557 | Train Acc: 0.7606 | Valid Loss: 1.2606 | Valid Acc: 0.5654 | Epoch Time: 5.18 s
Epoch 138 | learning rate: 0.0019 | Train Loss: 0.7542 | Train Acc: 0.7597 | Valid Loss: 1.2621 | Valid Acc: 0.5650 | Epoch Time: 5.34 s
