Epoch 054 | learning rate: 0.0139 | Train Loss: 1.0856 | Train Acc: 0.6254 | Valid Loss: 1.3243 | Valid Acc: 0.5438 | Epoch Time: 3.33 s
Epoch 055 | learning rate: 0.0139 | Train Loss: 1.0851 | Train Acc: 0.6245 | Valid Loss: 1.3037 | Valid Acc: 0.5470 | Epoch Time: 3.83 s
Epoch 056 | learning rate: 0.0132 | Train Loss: 1.0765 | Train Acc: 0.6275 | Valid Loss: 1.3589 | Valid Acc: 0.5268 | Epoch Time: 3.92 s
Epoch 057 | learning rate: 0.0132 | Train Loss: 1.0726 | Train Acc: 0.6291 | Valid Loss: 1.3248 | Valid Acc: 0.5402 | Epoch Time: 4.01 s
Epoch 058 | learning rate: 0.0125 | Train Loss: 1.0690 | Train Acc: 0.6298 | Valid Loss: 1.3326 | Valid Acc: 0.5430 | Epoch Time: 4.21 s
Epoch 059 | learning rate: 0.0125 | Train Loss: 1.0592 | Train Acc: 0.6359 | Valid Loss: 1.3463 | Valid Acc: 0.5336 | Epoch Time: 4.04 s
Epoch 060 | learning rate: 0.0119 | Train Loss: 1.0537 | Train Acc: 0.6382 | Valid Loss: 1.3171 | Valid Acc: 0.5414 | Epoch Time: 4.03 s
Epoch 061 | learning rate: 0.0119 | Train Loss: 1.0485 | Train Acc: 0.6398 | Valid Loss: 1.3083 | Valid Acc: 0.5562 | Epoch Time: 3.81 s
Epoch 062 | learning rate: 0.0113 | Train Loss: 1.0449 | Train Acc: 0.6405 | Valid Loss: 1.3024 | Valid Acc: 0.5492 | Epoch Time: 3.80 s
Epoch 063 | learning rate: 0.0113 | Train Loss: 1.0390 | Train Acc: 0.6422 | Valid Loss: 1.3623 | Valid Acc: 0.5306 | Epoch Time: 3.19 s
Epoch 064 | learning rate: 0.0107 | Train Loss: 1.0366 | Train Acc: 0.6432 | Valid Loss: 1.3224 | Valid Acc: 0.5486 | Epoch Time: 3.34 s
Epoch 065 | learning rate: 0.0107 | Train Loss: 1.0266 | Train Acc: 0.6498 | Valid Loss: 1.3392 | Valid Acc: 0.5350 | Epoch Time: 3.31 s
